AGAF|Afutara Airport|Afutara
LFMV|Avignon Caumont Airport|Avignon
LFMW|Castelnaudary - Villeneuve Airport|Castelnaudary
LFMX|Château-Arnoux-Saint-Auban Airport|Château-Arnoux-Saint-Auban
LFMZ|Lézignan-Corbières Airport|Lézignan-Corbières
LFNA|Gap Tallard Airport|Gap
LFNB|Mende Brenoux Airport|Mende
LFNC|Mont-Dauphin - Saint-Crépin Airport|Mont-Dauphin
LFND|Pont-Saint-Esprit Airport|Pont-Saint-Esprit
LFNE|Salon Eyguières Airport|Salon
LFNF|Vinon Airport|Vinon
LFNG|Montpellier Candillargues Airport|Montpellier
LFNH|Carpentras Airport|Carpentras
LFNJ|Aspres-sur-Buëch Airport|Aspres-sur-Buëch
LFNL|Saint-Martin-de-Londres Airport|Saint-Martin-de-Londres
LFNO|Florac Sainte-Enimie Airport|Florac
LFNP|Pézenas Nizas Airport|Pézenas
LFNQ|Mont-Louis La Quillane Airport|Mont-Louis
LFNR|Berre La Fare Airport|Berre
LFNS|Sisteron Thèze Airport|Sisteron
LFNT|Avignon Pujaut Airport|Avignon
LFNU|Uzès Airport|Uzès
LFNV|Valréas Visan Airport|Valréas
LFNW|Puivert Airport|Puivert
LFNX|Bédarieux La Tour-sur-Orb Airport|Bédarieux
LFNZ|Le Mazet-de-Romanin Airport|Le Mazet
LFOA|Avord Air Base|Avord
LFOB|Beauvais Tillé Airport|Beauvais
LFOC|Châteaudun Air Base|Châteaudun
LFOD|Saumur Saint-Florent Airport|Saumur
LFOE|Évreux Fauville Airport|Évreux
LFOF|Alençon Valframbert Airport|Alençon
LFOG|Flers Saint-Paul Airport|Flers
LFOH|Le Havre Octeville Airport|Le Havre
LFOI|Abbeville - Buigny-Saint-Maclou Aerodrome|Abbeville
LFOJ|Orléans - Bricy Air Base|Orléans
LFOK|Châlons Vatry Airport|Châlons-en-Champagne
LFOL|L'Aigle Saint-Michel Airport|L'Aigle
LFOM|Lessay Airport|Lessay
LFON|Vernouillet Airport|Dreux
LFOO|Les Sables-d'Olonne Talmont Airport|Les Sables-d'Olonne
LFOP|Rouen Vallée de Seine Airport|Rouen
LFOQ|Blois Le Breuil Airport|Blois
LFOR|Chartres|Champhol Aerodrome
LFOS|Saint-Valery Vittefleur Airport|Saint-Valery
LFOT|Tours Val de Loire Airport|Tours
LFOU|Cholet Le Pontreau Airport|Cholet
LFOV|Laval Entrammes Airport|Laval
LFOW|Saint-Quentin Roupy Airport|Saint-Quentin
LFOX|Étampes|Montdésir Airport
LFOY|Le Havre Saint-Romain Airport|Le Havre
LFOZ|Orléans Saint-Denis-de-l'Hotel Airport|Orléans
LFPA|Persan-Beaumont Airport|Persan, Beaumont
LFPB|Paris Le Bourget Airport|Paris
LFPC|Creil Airport|Creil
LFPD|Bernay Saint-Martin Airport|Bernay, Eure
LFPE|Meaux Esbly Airport|Meaux
LFPF|Beynes Thiverval Airport|Beynes
LFPG|Paris-Charles de Gaulle Airport (Roissy Airport)|Paris
LFPH|Chelles Le Pin Airport|Chelles
LFPI|Paris Issy-les-Moulineaux Airport|Paris
LFPK|Coulommiers-Voisins Airport|Coulommiers
LFPL|Lognes Emerainville aerodrome|Lognes
LFPM|Melun-Villaroche Airport|Melun
LFPN|Toussus-le-Noble Airport|Toussus-le-Noble
LFPO|Paris Orly Airport|Orly (near Paris)
LFPP|Le Plessis-Belleville Airport|Le Plessis-Belleville
LFPQ|Fontenay Tresigny Airport|Fontenay-Trésigny
LFPT|Pontoise - Cormeilles-en-Vexin Airport|Pontoise
LFPU|Moret Episy Airport|Moret-sur-Loing
LFPV|Vélizy - Villacoublay Air Base|Vélizy-Villacoublay
LFPX|Chavenay Villepreux Airport|Chavenay
LFPY|Brétigny-sur-Orge Air Base|Brétigny-sur-Orge
LFPZ|Saint-Cyr-l'École Airport|Saint-Cyr-l'École
LFQA|Reims-Prunay Airport|Reims
LFQB|Troyes Barberey Airport|Troyes
LFQC|Lunéville-Croismare Airport|Lunéville
LFQD|Arras|Roclincourt Airport
LFQF|Autun Bellevue Airport|Autun
LFQG|Nevers Fourchambault Airport|Nevers
LFQH|Châtillon-sur-Seine Airport|Châtillon-sur-Seine
LFQI|Cambrai Epinoy Airport|Cambrai
LFQJ|Maubeuge Elesmes Airport|Maubeuge
LFQK|Châlons Écury-sur-Coole Airport|Châlons-en-Champagne
LFQL|Lens Benifontaine Airport|Lens
LFQM|Besançon La Veze Airport|Besançon
LFQN|Saint-Omer Wizernes Airport|Saint-Omer
LFQO|Lille Marcq-en-Baroeul Airport|Lille
LFQQ|Lille Lesquin Airport|Lille
LFQR|Romilly-sur-Seine Airport|Romilly-sur-Seine
LFQS|Vitry-en-Artois Airport|Vitry-en-Artois
LFQT|Merville Calonne Airport|Merville / Hazebrouck
LFQU|Sarre-Union Airport|Sarre-Union
LFQV|Charleville-Mézières Airport|Charleville-Mézières
LFQW|Vesoul Frotey Airport|Vesoul
LFQX|Juvancourt Airport|Juvancourt
LFQY|Saverne Steinbourg Airport|Saverne
LFQZ|Dieuze Gueblange Airport|Dieuze
LFRB|Brest Bretagne Airport|Brest
LFRC|Cherbourg Maupertus Airport|Cherbourg-Octeville
LFRD|Dinard Pleurtuit Saint-Malo Airport|Dinard
LFRE|La Baule-Escoublac Airport|La Baule-Escoublac
LFRF|Granville Airport|Granville
LFRG|Deauville Saint-Gatien Airport|Deauville
LFRH|Lorient South Brittany Airport|Lorient
LFRI|La Roche-sur-Yon Les Ajoncs Airport|La Roche-sur-Yon
LFRJ|Landivisiau Airport|Landivisiau
LFRK|Caen Carpiquet Airport|Caen
LFRM|Le Mans Arnage Airport|Le Mans
LFRN|Rennes - Saint-Jacques Airport|Rennes
LFRO|Lannion Airport|Lannion
LFRP|Ploermel Loyat Airport|Ploërmel
LFRQ|Quimper Pluguffan Airport|Quimper
LFRS|Nantes Atlantique Airport (formerly Aéroport Château Bougon)|Nantes
LFRT|Saint-Brieuc|Armor Airport
LFRU|Morlaix Ploujean Airport|Morlaix
LFRV|Vannes-Meucon Airport|Vannes
LFRW|Avranches Le Val Saint-Pere Airport|Avranches
LFRZ|Saint-Nazaire Montoir Airport|Saint-Nazaire
LFSA|Besançon Thise Airport|Besançon
LFSB|EuroAirport Basel-Mulhouse-Freiburg|Mulhouse, France / Basel, Switzerland
LFSD|Dijon Bourgogne - Longvic Airport|Dijon
LFSE|Épinal Dogneville Airport|Épinal
LFSF|Metz Frescaty Airport|Metz
LFSG|Épinal Mirecourt Airport|Épinal
LFSH|Haguenau Airport|Haguenau
LFSJ|Sedan Douzy Airport|Sedan
LFSK|Vitry-le-François Vauclerc Airport|Vitry-le-François
LFSM|Montbéliard Courcelles Airport|Montbéliard
LFSN|Nancy-Essey Airport|Nancy
LFSP|Pontarlier Airport|Pontarlier
LFSQ|Belfort Fontaine Airport|Belfort
LFSR|Reims|Champagne Air Base
LFST|Strasbourg Entzheim Airport|Strasbourg
LFSU|Langres Rolampont Airport|Langres
LFSV|Pont-Saint-Vincent Airport|Pont-Saint-Vincent
LFSW|Épernay Plivot Airport|Épernay
LFSY|Cessey Airport|Cessey
LFSZ|Vittel Champ-de-Courses Airport|Vittel
LFTB|Marignane Berre Airport|Marignane
LFTF|Cuers Pierrefeu Airport|Cuers
LFTH|Toulon|Hyères Airport (Hyères Le Palyvestre Airport)
LFTM|Serres La Batie Montsaleon Airport|Serres-la-Batie
LFTN|La Grand'Combe Airport|La Grand-Combe
LFTP|Puimoisson Airport|Puimoisson
LFTQ|Chateaubriant Pouance Airport|Châteaubriant
LFTR|Toulon-St. Mandrier Heliport|Saint-Mandrier-sur-Mer
LFTU|Frejus Saint-Raphael Airport|Fréjus
LFTW|Nîmes-Alès-Camargue-Cévennes Airport (Garons Airport)|Nîmes
LFTZ|La Mole Airport|La Môle
LFXA|Ambérieu-en-Bugey Air Base|Ambérieu-en-Bugey
LFXB|Saintes Thenac Airport|Saintes
LFXM|Mourmelon Airport|Mourmelon
LFXN|Narbonne Airport|Narbonne
LFXU|Les Mureaux Airport|Les Mureaux
LFYG|Cambrai-Niergnies Airport|Cambrai
LFYR|Romorantin Pruniers Airport|Romorantin
LFYS|Sainte-Léocadie Airport|Sainte-Léocadie
LFVM|Miquelon Airport|Miquelon
LFVP|Saint Pierre Airport|Saint-Pierre
LGAL|Alexandroupolis International Airport, "Dimokritos" (Democritus)|Alexandroupolis
LGAV|Athens International Airport, "Eleftherios Venizelos"|Athens (Athina)
LGBL|International Airport of Central Greece|Nea Anchialos/Volos
LGHI|Chios Island National Airport, "Omiros"|Chios
LGIK|Ikaria Island National Airport, "Ikaros"|Ikaria
LGIO|Ioannina National Airport, "King Piros"|Ioannina
LGIR|Heraklion International Airport, "Nikos Kazantzakis"|Heraklion (Iraklion), Crete
LGKA|Kastoria National Airport, "Aristotelis"|Kastoria
LGKC|Kithira Island National Airport, ""Alexandros Aristotelous Onassis"|Kythira (Kithira)
LGKF|Kefalonia Island International Airport, "Pollatou"|Kefalonia (Kefallinia, Cephallonia)
LGKJ|Kastelorizo Island Public Airport, "Megisti"|Kastelorizo
LGKL|Kalamata International Airport, "Captain Vassilis Constantakopoulos"|Kalamata
LGKO|Kos Island International Airport, "Ippokratis" (Hippocrates)|Kos
LGKP|Karpathos Island National Airport|Karpathos
LGKR|Ioannis Kapodistrias International Airport|Corfu (Kerkyra, Kerkira)
LGKS|Kassos Island Public Airport, "Agia Marina"|Kasos (Kassos)
LGKV|Kavala International Airport, "Megas Alexandros"|Kavala
LGKY|Kalymnos Island National Airport, "Pothia"|Kalimnos
LGKZ|Kozani National Airport, "Filippos"|Kozani
LGLE|Leros Municipal Airport, "Dodekanisos"|Leros
LGLM|Lemnos International Airport, "Ifaestos"|Lemnos (Limnos)
LGMG|Megara Airport|Megara (military and national general aviation only)
LGMK|Mykonos Island National Airport, "Dilos"|Mykonos (Mikonos)
LGML|Milos Island National Airport, "Afroditi"|Milos
LGMT|Mytilene International Airport, "Odysseas Elytis"|Mytilene (Mitilini), Lesbos
LGNX|Naxos Island National Airport, "Apollon"|Naxos
LGPA|Paros National Airport, "Panteleou"|Paros
LGPL|Astypalaia Island National Airport, "Panagia"|Astypalaia
LGPZ|Aktion National Airport (Lefkada Airport)|Preveza
LGRP|Rhodes International Airport, "Diagoras"|Rhodes (Rhodos, Rodos)
LGRX|Araxos Airport, "Agamemnon"|Araxos
LGSA|Chania International Airport, "Ioannis Daskalogiannis"|Chania, Crete
LGSK|Skiathos Island National Airport, "Alexandros Papadiamantis"|Skiathos
LGSM|Samos International Airport, "Aristarchos"|Samos
LGSO|Syros Island National Airport, "Dimitrios Vikelas"|Syros (Siros)
LGSR|Santorini (Thira) National Airport, "Zefiros"|Santorini (Thira)
LGST|Sitia Public Airport|Sitia, "Vitsentzos Kornaros" Crete
LGSY|Skyros Island National Airport, "Aegeon"|Skyros (Skiros)
LGTS|Thessaloniki International Airport, "Makedonia"|Thessaloniki
LGZA|Zakynthos International Airport, "Dionysios Solomos"|Zakynthos (Zakinthos)
LHBP|Liszt Ferenc International Airport|Budapest
LHBS|Budaörs Airport|Budaörs
LHDC|Debrecen International Airport|Debrecen
LHDK|Dunakeszi Airport|Dunakeszi
LHEC|Érsekcsanád Airport|Érsekcsanád
LHEM|Esztergom Airport|Esztergom
LHFH|Farkashegy Airport|Budakeszi
LHFM|Fertőszentmiklós Airport|Fertőszentmiklós
LHKD|Kecskéd Airport|Kecskéd
LHKE|Kecskemét Airport|Kecskemét
LHKK|Kiskunlacháza Airport|Kiskunlacháza
LHMC|Miskolc Airport|Miskolc
LHNY|Nyíregyháza Airport|Nyíregyháza
LHOY|Őcsény Airport|Őcsény
LHPA|Pápa Airport|Pápa
LHPP|Pécs-Pogány International Airport|Pécs
LHPR|Győr-Pér International Airport|Győr, Pér
LHSA|Szentkirályszabadja Airport|Szentkirályszabadja
LHSM|Sármellék International Airport|Sármellék
LHSN|Szolnok Airport|Szolnok
LHSK|Siófok-Kiliti Airport|Ságvár
LHTA|Taszár Airport|Taszár
LHTL|Tököl Airport|Tököl
LIAF|Foligno Airport|Foligno
LIAP|Preturo Airport|L'Aquila
LIAT|Pontedera Airport|Pontedera, Pisa
LIAU|Capua Airport|Capua
LIBA|Amendola Air Force Base|Foggia
LIBC|Crotone Airport (Sant'Anna Airport)|Crotone
LIBD|Bari Karol Wojtyla International Airport|Bari
LIBF|Gino Lisa Airport|Foggia
LIBG|Grottaglie Airport|Taranto
LIBN|Lecce Airport (military)|Lecce
LIBP|Abruzzo International Airport|Pescara
LIBR|Casale Airport|Brindisi
LIBV|Gioia del Colle Air Base|Gioia del Colle, Bari
LIBX|Martina Franca Air Force Base|Martina Franca, Taranto
LICA|Lamezia Terme International Airport|Lamezia Terme, Catanzaro
LICB|Comiso Airport|Comiso, Ragusa
LICC|Catania-Fontanarossa Airport|Catania
LICD|Lampedusa Airport|Lampedusa, Agrigento
LICG|Pantelleria Airport|Pantelleria, Trapani
LICJ|Palermo Airport (Punta Raisi Airport)|Palermo / Punta Raisi
LICP|Palermo-Boccadifalco Airport|Palermo
LICR|Reggio Calabria Airport|Reggio Calabria
LICT|Vincenzo Florio Airport (Birgi Airport)|Trapani
LICZ|Sigonella Airport (military)|Lentini, Syracuse
LIDA|Asiago Airport|Asiago, Vicenza
LIDB|Belluno Airport|Belluno
LIDE|Reggio Emilia Airport|Reggio Emilia
LIDF|Fano Airport|Fano, Pesaro & Urbino
LIDG|Lugo di Romagna Airport|Lugo di Romagna, Ravenna
LIDR|Ravenna Airport|Ravenna
LIDT|G. Caproni Airport (Mattarello Airport)|Trento
LIDU|Carpi Budrione Airport|Carpi
LIEA|Fertilia Airport (Alghero Airport)|Alghero, Sassari
LIED|Decimomannu Air Base|Decimomannu, Cagliari
LIEE|Cagliari - Elmas Airport|Cagliari
LIEO|Olbia - Costa Smeralda Airport|Olbia
LIER|Oristano-Fenosu Airport|Oristano
LIET|Tortolì Airport|Tortolì
LIKO|Aviosuperficie di Ozzano - Guglielmo Zamboni|Ozzano dell´Emilia (BO)
LILA|Alessandria Airport|Alessandria
LILE|Cerrione Airport|Biella
LILG|Vergiate Airport|Vergiate, Varese
LILH|Rivanazzano Airport|Voghera, Pavia
LILM|Casale Monferrato Airport|Casale Monferrato
LILN|Venegono Airport|Varese
LILQ - Massa Cinquale Airport|Massa|
LILR|Migliaro Airport|Cremona
LILY|Como Idroscalo (water aereodrome)|Como
LIMA|Aeritalia Airport|Turin (Torino)
LIMB|Bresso Airport|Milan
LIMC|Malpensa International Airport|Milan
LIME|Orio al Serio International Airport|Bergamo
LIMF|Turin International Airport (Torino Caselle Airport)|Turin (Torino)
LIMG|Villanova d'Albenga International Airport (C. Panero Airport)|Albenga, Savona
LIMJ|Genoa Cristoforo Colombo Airport (Sestri Airport)|Genoa (Genova)
LIML|Linate Airport|Milan
LIMN|Cameri Air Force Base|Cameri, Novara
LIMP|Parma Airport (G. Verdi Airport)|Parma
LIMS|San Damiano Air Force Base|Piacenza
LIMW|Aosta Airport (Corrado Gex Airport)|Aosta
LIMZ|Cuneo Levaldigi Airport|Cuneo
LIPA|Aviano Air Base|Aviano, Pordenone
LIPB|Bolzano Dolomiti Airport|Bolzano, South Tyrol
LIPC|Cervia Air Force Base|Cervia, Ravenna
LIPD|Campoformido Airport (military until 2008)|Campoformido / Udine
LIPE|Bologna Airport (Guglielmo Marconi Airport)|Bologna
LIPF|Ferrara Airport|Ferrara
LIPH|Treviso Airport (Sant'Angelo Airport)|Treviso
LIPI|Rivolto Air Force Base|Rivolto / Udine
LIPK|Forlì Airport (L. Ridolfi Airport)|Forlì
LIPL|Ghedi Air Base (military)|Ghedi, Brescia
LIPM|Modena Marzaglia Airport|Modena
LIPN|Boscomantico Airport|Verona
LIPO|Montichiari Airport|Brescia
LIPQ|Friuli Venezia Giulia Airport (Trieste Ronchi dei Legionari Airport)|Ronchi dei Legionari / Trieste
LIPR|Federico Fellini International Airport|Rimini
LIPS|Istrana Air Force Base|Treviso
LIPT|Vicenza Airport|Vicenza
LIPU|Padova Airport (Gino Allegri Airport)|Padua (Padova)
LIPV|Venice-Lido Airport (Giovanni Nicelli Airport)|Venice (Venezia)
LIPY|Falconara Airport (Raffaello Sanzio Airport)|Ancona
LIPZ|Marco Polo International Airport (Marco Polo Venice Airport)|Venice (Venezia)
LIQB|Molin Bianco Airport|Arezzo
LIQL|Tassignano Airport|Lucca
LIQN|Rieti Airport (G. Ciuffelli Airport)|Rieti
LIQS|Siena Airport|Siena
LIQW|Luni Airport (military/Navy)|Sarzana, Genoa
LIRA|Ciampino Airport (Giovan Battista Pastine Airport)|Rome
LIRC|Centocelle Air Force Base|Centocelle, Rome
LIRE|Pratica di Mare Air Force Base|Pomezia, Rome
LIRF|Leonardo da Vinci International Airport (Fiumicino International Airport)|Rome
LIRG|Guidonia Air Force Base|Guidonia Montecelio, Rome
LIRI|Salerno Costa d'Amalfi Airport|Salerno
LIRJ|Marina di Campo Airport|Marina di Campo, Elba
LIRL|Latina Airport (military)|Latina
LIRM|Grazzanise Airport (military)|Caserta
LIRN|Naples International Airport (Capodichino Airport)|Naples
LIRP|Galileo Galilei Airport (Pisa International Airport)|Pisa
LIRQ|Amerigo Vespucci Airport (Florence Airport)|Florence (Firenze)
LIRS|Grosseto Airport|Grosseto
LIRU|Rome Urbe Airport|Rome
LIRV|Viterbo Air Force Base / Rome Viterbo Airport|Viterbo
LIRZ|San Egidio Airport|Perugia
LJAJ|Ajdovščina Airport|Ajdovščina
LJBL|Lesce-Bled Airport|Lesce
LJBO|Bovec Airport|Bovec
LJCE|Cerklje ob Krki Airport|Cerklje ob Krki, Brežice
LJCL|Celje Airport|Celje (Levec)
LJLJ|Ljubljana Jože Pučnik Airport (Brnik Airport)|Ljubljana
LJMB|Maribor Edvard Rusjan Airport|Maribor
LJMS|Murska Sobota Airport|Murska Sobota (Rakičan)
LJNM|Novo Mesto-Prečna Airport|Novo Mesto (Prečna)
LJPO|Postojna Airport|Postojna
LJPT|Ptuj Airport|Ptuj (Moškanjci)
LJPZ|Portorož Airport|Portorož
LJSG|Slovenj Gradec Airport|Slovenj Gradec
LJSO|Velenje Airport|Velenje (Lajše)
LKBA|Břeclav Airfield|Břeclav
LKBE|Benešov Airfield|Benešov
LKBR|Broumov Airport|Broumov
LKBU|Bubovice Airfield|Bubovice
LKCB|Cheb Airport|Cheb
LKCE|Česká Lípa Airport|Česká Lípa
LKCH|Chomutov Airport|Chomutov
LKCM|Medlánky Airfield|Medlánky
LKCR|Chrudim Airport|Chrudim
LKCS|České Budějovice Airport|České Budějovice
LKCT|Chotěboř Airport|Chotěboř
LKCV|Čáslav Air Base|Čáslav
LKDK|Dvůr Králové nad Labem Airport|Dvůr Králové nad Labem
LKHB|Havlíčkův Brod Airport|Havlíčkův Brod
LKHC|Hořice Airport|Hořice
LKHD|Hodkovice nad Mohelkou Airport|Hodkovice nad Mohelkou
LKHN|Hranice Airport|Hranice
LKHK|Hradec Králové Airport|Hradec Králové
LKHO|Holešov Airport|Holešov
LKJA|Jaroměř Airport|Jaroměř
LKJC|Jičín Airport|Jičín
LKJH|Jindřichův Hradec Airport|Jindřichův Hradec
LKJI|Jihlava Airport|Jihlava
LKKB|Praha Kbely|Praha
LKKL|Kladno Airport|Kladno
LKKO|Kolín Airport|Kolín
LKKR|Krnov Airport|Krnov
LKKA|Křižanov Airport|Křižanov
LKKT|Klatovy Airfield|Klatovy
LKKU|Kunovice Airport|Kunovice
LKKV|Karlovy Vary Airport|Karlovy Vary
LKKY|Kyjov Airport|Kyjov
LKLT|Praha Letňany Airfield|Letňany
LKMB|Mladá Boleslav Airport|Mladá Boleslav
LKMH|Mnichovo Hradiště Airport|Mnichovo Hradiště
LKMI|Mikulovice Airport|Mikulovice
LKMK|Moravská Třebová Airport|Moravská Třebová
LKMO|Most Airport|Most
LKMR|Mariánské Lázně Airport|Mariánské Lázně
LKMT|Ostrava-Mošnov International Airport|Ostrava
LKNM|Nové Město Airport|Nové Město nad Metují
LKOL|Olomouc Airport|Olomouc
LKOT|Otrokovice Airfield|Otrokovice
LKPA|Polička Airport|Polička
LKPD|Pardubice Airport|Pardubice
LKPI|Přibyslav Airport|Přibyslav
LKPL|Letkov Airport|Letkov
LKPM|Příbram Airport|Příbram
LKPN|Podhořany Airport|Podhořany
LKPO|Přerov Airport|Přerov
LKPR|Prague Václav Havel Airport|Prague
LKPS|Plasy Airport|Plasy
LKRA|Raná u Loun Airport|Raná u Loun
LKRK|Rakovník Airfield|Rakovník
LKRO|Roudnice Airport|Roudnice
LKSA|Staňkov Airport|Staňkov
LKSK|Skuteč Airport|Skuteč
LKSN|Slaný Airport|Slaný
LKSO|Soběslav Airport|Soběslav
LKSR|Strunkovice Airport|Strunkovice
LKST|Strakonice Airport|Strakonice
LKSU|Šumperk Airport|Šumperk
LKSZ|Sazená Airport|Sazená
LKTA|Tábor Airport|Tábor
LKTB|Brno-Tuřany Airport|Brno
LKTC|Točná Airport|Točná
LKTO|Toužim Airport|Toužim
LKUO|Ústí nad Orlicí Airport|Ústí nad Orlicí
LKVL|Vlašim Airport|Vlašim
LKVM|Vysoké Mýto Airport|Vysoké Mýto
LKVO|Vodochody Airport|Vodochody
LKVP|Velké Poříčí Airport|Velké Poříčí
LKVR|Vrchlabí Airport|Vrchlabí
LKVY|Vyškov Airport|Vyškov
LKZA|Zábřeh Airport|Zábřeh
LKZB|Zbraslavice Airport|Zbraslavice
LKZM|Žamberk Airport|Žamberk
LLBG|Ben Gurion International Airport|Lod / Tel Aviv
LLBS|Be'er Sheva Airport (Teyman Airport)|Beersheba (Be'er Sheva)
LLEK|Tel Nof Israeli Air Force Base|Tel Nof (Tel Nov)
LLES|Ein Shemer Airfield|Ein Shemer (Eyn-Shemer)
LLET|Eilat Airport (J. Hozman Airport)|Eilat
LLEY|Ein Yahav Airfield|Ein Yahav (Eyn-Yahav)
LLFK|Fiq Airfield|Fiq, Golan Heights
LLHA|Haifa International Airport (U. Michaeli Airport)|Haifa
LLHB|Hatzerim Airbase (Hatzerim)|Beersheba (Be'er Sheva)
LLHS|Hatzor Airbase|Hatzor
LLHZ|Herzliya Airport|Herzliya (Herzlia)
LLIB|Rosh Pina Airport (Ben Ya'aqov Airport)|Rosh-Pina
LLKS|Qiryat Shemona Airport|Qiryat Shemona (Kiryat-Shmona)
LLMG|Megiddo Airport|Megiddo (Meggido)
LLMR|Mitzpe Ramon Airfield|Mitzpe Ramon
LLMZ|Bar Yehuda Airfield|Masada
LLNV|Nevatim Israeli Air Force Base|Nevatim
LLOV|Ovda International Airport|Negev
LLRD|Ramat David Israeli Air Force Base|Megiddo
LLRM|Ramon Airbase|Mitzpe Ramon
LLSD|Sde Dov Airport (Dov Hoz Airport)|Tel Aviv
LLYT|Yotvata Airfield|Yotvata
LMML|Malta International Airport (Luqa Airport)|Luqa
LNMC|Monaco Heliport|Monte Carlo
LOAN|Wiener Neustadt East Airport|Wiener Neustadt, Lower Austria
LOAU|Stockerau Airfield|Stockerau, Lower Austria
LOKF|Feldkirchen Airfield|Ossiacher See, Carinthia
LOLG|St. Georgen Airfield|Leutzmannsdorf, Lower Austria
LOLO|Linz Ost Airfield (Linz East Airfield)|Linz, Upper Austria
LOLW|Wels Airport|Wels, Upper Austria
LOWG|Graz Airport (Thalerhof Airport)|Graz, Styria
LOWI|Innsbruck Airport (Kranebitten Airport)|Innsbruck, Tyrol
LOWK|Klagenfurt Airport (Woerthersee Airport)|Klagenfurt, Carinthia
LOWL|Linz Airport (Blue Danube Airport)|Linz, Upper Austria
LOWS|Salzburg Airport (W. A. Mozart Airport)|Salzburg, Salzburg
LOWW|Vienna International Airport (Schwechat Airport)|Schwechat, Lower Austria
LOXZ|Zeltweg Air Base|Zeltweg, Styria
LPAR|Alverca Air Base|Alverca do Ribatejo, Vila Franca de Xira
LPAV|São Jacinto Airport (Aveiro Airport)|Aveiro
LPBG|Bragança Airport|Bragança
LPBJ- Beja Air Base/Beja Airport|Beja|
LPBR|Braga Airport|Palmeira, Braga
LPCH|Chaves Airport|Chaves
LPCO|Coimbra Airport (Antanhol / Cernache /Coimbra) Bissaya Barreto Airport|Coimbra
LPCS|Aeródromo Municipal de Cascais - São Domingos de Rana, Cascais, Greater Lisbon|
LPEV|Évora Airport|Évora / Alentejo Central
LPFR|Faro Airport|Faro / Algarve Int. Faro
LPIN|Espinho Airport|Paramos / Silvalde/Espinho
LPMF|Monfortinho Airport|Monfortinho, Idanha-a-Nova
LPMI|Mirandela Airport|Mirandela
LPMO|Montargil Airport|Montargil, Ponte de Sor
LPMR|Monte Real Air Base|Monte Real, Leiria
LPMT|Montijo Air Base|Montijo
LPOT|Ota Air Base|Ota, Alenquer
LPOV|Ovar Air Base|Maceda, Ovar
LPPM|Portimão Airport|Montes de Alvor /Penina / Alvor, Portimão, Barlavento Algarvio
LPPR- Francisco Sá Carneiro Airport Int.|Porto / Oporto|Pedras Rubras, Moreira, Maia;Greater Porto area:Matosinhos, Vila do Conde, Maia, Grande Porto
LPPT|Portela Airport (Lisbon Airport), Lisbon / Lisboa|Portela, Lisbon / Prior Velho, Loures ( Lisbon) Int.
LPPV|Praia Verde Airport|Praia Verde, Altura Castro Marim / Tavira / Sotavento area.
LPSC|Santa Cruz Airport, Santa Cruz, Torres Vedras|
LPSI|Sines Airport|Sines /Alentejo Litoral
LPSR|Santarém Airport|Santarém
LPST|Sintra Air Base|Granja do Marquês / Pero Pinheiro, Sintra
LPTN|Tancos Air Base|Tancos, Vila Nova da Barquinha, Médio Tejo
LPVL|Maia Airport {Maia Airfield} (Vilar da Luz Airport)|Maia
LPVR|Vila Real Airport|Vila Real / Alto Douro
